;Vviento00;Vviento01;Vviento02;Vviento03;Vviento04;Vviento05;Vviento06;Vviento07;Vviento08;Vviento09;Vviento10;Vviento11;Vviento12;Vviento13;Vviento14;Vviento15;Vviento16;Vviento17;Vviento18;Vviento19;Vviento20;Vviento21;Vviento22;Vviento23;AlturaOlas00;AlturaOlas01;AlturaOlas02;AlturaOlas03;AlturaOlas04;AlturaOlas05;AlturaOlas06;AlturaOlas07;AlturaOlas08;AlturaOlas09;AlturaOlas10;AlturaOlas11;AlturaOlas12;AlturaOlas13;AlturaOlas14;AlturaOlas15;AlturaOlas16;AlturaOlas17;AlturaOlas18;AlturaOlas19;AlturaOlas20;AlturaOlas21;AlturaOlas22;AlturaOlas23;PeriodoOlas00;PeriodoOlas01;PeriodoOlas02;PeriodoOlas03;PeriodoOlas04;PeriodoOlas05;PeriodoOlas06;PeriodoOlas07;PeriodoOlas08;PeriodoOlas09;PeriodoOlas10;PeriodoOlas11;PeriodoOlas12;PeriodoOlas13;PeriodoOlas14;PeriodoOlas15;PeriodoOlas16;PeriodoOlas17;PeriodoOlas18;PeriodoOlas19;PeriodoOlas20;PeriodoOlas21;PeriodoOlas22;PeriodoOlas23;Temperatura00;Temperatura01;Temperatura02;Temperatura03;Temperatura04;Temperatura05;Temperatura06;Temperatura07;Temperatura08;Temperatura09;Temperatura10;Temperatura11;Temperatura12;Temperatura13;Temperatura14;Temperatura15;Temperatura16;Temperatura17;Temperatura18;Temperatura19;Temperatura20;Temperatura21;Temperatura22;Temperatura23;Lluvia00;Lluvia01;Lluvia02;Lluvia03;Lluvia04;Lluvia05;Lluvia06;Lluvia07;Lluvia08;Lluvia09;Lluvia10;Lluvia11;Lluvia12;Lluvia13;Lluvia14;Lluvia15;Lluvia16;Lluvia17;Lluvia18;Lluvia19;Lluvia20;Lluvia21;Lluvia22;Lluvia23;Nubosidad00;Nubosidad01;Nubosidad02;Nubosidad03;Nubosidad04;Nubosidad05;Nubosidad06;Nubosidad07;Nubosidad08;Nubosidad09;Nubosidad10;Nubosidad11;Nubosidad12;Nubosidad13;Nubosidad14;Nubosidad15;Nubosidad16;Nubosidad17;Nubosidad18;Nubosidad19;Nubosidad20;Nubosidad21;Nubosidad22;Nubosidad23
11.01.2022;6;6;5;5;5;5;5;5;4;4;3;2;2;5;3;3;3;4;3;3;4;4;3;3;1.3;1.3;1.3;1.2;1.2;1.2;1.2;1.2;1.1;1.1;1.1;1.1;1.1;1;1;1;1;1;0.9;0.9;0.9;0.9;0.9;0.9;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;9;9;9;9;7;7;7;7;7;7;7;7;6;7;7;8;9;9;9;9;8;6;6;5;5;5;5;5;;;;;;;;;;;;;;;;;;;;;;;;;78;100;100;100;100;100;100;100;100;100;100;100;;;5;100;100;5;11;7;12;100;100;100
12.01.2022;3;2;3;3;3;3;3;3;4;3;2;1;2;2;3;4;4;4;3;2;2;2;3;3;0.8;0.8;0.8;0.8;0.8;0.7;0.7;0.7;0.7;0.7;0.7;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.5;0.5;0.5;0.5;0.5;0.5;9;9;9;9;9;9;9;9;9;9;9;8;8;8;8;8;8;8;8;8;8;8;8;8;5;5;5;5;5;5;5;5;5;5;6;7;7;8;8;8;7;6;6;5;5;5;5;5;;;;;;;;;;;;;;;;;;;;;;;;;100;92;38;76;100;100;100;98;100;90;83;97;77;12;5;5;5;;;;;;;
13.01.2022;3;2;2;2;2;2;2;2;2;2;2;1;1;2;3;2;2;1;1;3;3;2;2;3;0.5;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;8;8;8;8;8;8;8;8;8;8;8;8;8;7;7;7;7;7;7;7;8;8;8;7;4;4;4;4;4;4;4;4;4;4;5;6;7;8;8;8;6;5;5;4;4;3;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14.01.2022;3;3;4;4;4;4;4;4;4;4;4;4;5;5;5;6;6;6;5;5;5;5;5;5;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.4;0.4;0.4;0.5;0.5;0.5;0.5;0.6;0.6;0.6;0.6;0.6;0.6;0.6;8;8;8;7;7;7;7;7;7;7;7;7;4;4;4;4;4;4;4;4;4;4;4;4;3;3;3;3;3;3;3;3;3;3;4;5;7;8;9;8;7;7;6;6;8;8;8;8;;;;;;;;;;;;;;;;;;;;;0.1;0.1;;;;;;;;;25;27;34;57;80;95;85;35;50;57;65;8;9;81;100;100;100;100
15.01.2022;6;7;6;6;6;6;5;5;6;6;8;7;6;8;8;7;5;5;6;5;5;5;4;3;0.6;0.7;0.7;0.7;0.7;0.7;0.6;0.6;0.6;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.6;0.6;0.6;0.6;0.6;0.6;5;5;5;5;5;5;5;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;8;8;8;8;8;8;8;8;8;7;8;8;8;8;8;8;8;8;8;8;8;8;8;8;;;;0.1;;;0.1;;;;;0.1;0.1;0.1;0.1;0.1;;0.1;;;;;;;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100
16.01.2022;4;3;5;5;6;6;6;6;5;7;8;10;9;7;8;8;6;6;5;5;5;5;5;4;0.6;0.5;0.6;0.6;0.6;0.6;0.7;0.7;0.7;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;4;5;5;5;5;5;5;5;6;6;6;6;6;6;6;6;6;6;6;6;6;7;7;7;8;8;8;8;7;7;6;7;7;8;8;9;9;9;9;9;7;6;4;4;3;3;3;3;;;;;;;;;;;;;;;;;;;;;;;;;100;100;100;100;100;84;18;100;100;100;100;28;7;11;65;99;39;;;;;;;
17.01.2022;4;4;4;4;3;3;3;1;1;2;2;1;3;5;6;6;6;7;6;5;6;5;5;5;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.9;0.9;0.9;0.9;7;7;7;7;7;7;7;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;2;2;2;2;2;1;1;1;1;2;3;5;6;7;8;8;7;6;6;6;6;6;6;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;6;6;5;10;10;;;;5;8;6;6;6;5;11;10;20;21;37
18.01.2022;6;6;6;5;7;7;8;9;9;9;10;12;12;12;12;12;12;12;12;12;13;13;12;12;0.9;1;1;1;1.1;1.1;1.1;1.2;1.2;1.3;1.3;1.4;1.4;1.4;1.4;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.6;1.5;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;7;6;6;7;7;7;8;8;8;8;8;9;9;9;9;9;9;9;9;9;9;9;9;9;;;;;0.1;;;;;;;;;;;;;;;;;0.1;;0.1;32;12;;13;21;61;100;100;100;23;6;;19;24;51;66;86;80;85;100;100;100;100;100
19.01.2022;11;10;9;6;5;5;6;5;8;11;10;12;12;13;13;12;12;9;11;11;10;10;9;8;1.5;1.5;1.4;1.3;1.3;1.2;1.2;1.2;1.1;1.1;1.1;1.1;1;1;1;1;1;1;0.9;0.9;0.9;0.9;0.9;0.9;8;8;8;8;8;8;8;8;8;8;8;7;7;7;7;7;7;7;9;9;9;9;9;9;9;9;9;9;8;7;8;7;9;8;8;8;8;8;8;8;8;6;6;6;5;5;4;4;0.1;;;;;;;;;0.1;0.1;;;;;;;;;;;;;;100;100;100;100;89;;;7;84;8;24;6;100;56;100;100;100;20;12;11;7;6;10;11
20.01.2022;7;7;7;7;7;7;6;6;7;7;7;9;10;9;8;6;6;6;6;5;5;5;5;5;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;4;3;3;3;3;3;3;3;2;2;4;5;6;7;7;7;6;4;4;3;3;3;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;5;12;13;11;41;5;6;5;5;5;5;5;6;6;12;100;16;54;100;85;100;100;100
21.01.2022;3;3;3;4;4;4;4;4;4;4;3;3;4;4;4;3;3;3;2;3;3;3;3;3;0.6;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;9;9;9;9;9;9;9;9;8;8;8;9;9;9;9;9;9;9;9;9;9;9;9;9;3;3;3;2;2;2;2;2;2;2;3;5;6;6;7;7;6;4;3;3;3;3;3;5;;;;;;;;;;;;;;;;;;;;;;;;;78;100;100;100;63;26;81;100;100;100;100;100;66;24;16;16;11;;;5;;;35;100
22.01.2022;4;4;4;4;4;3;3;3;3;3;3;2;2;3;2;4;5;4;2;1;1;1;1;2;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.3;0.3;0.3;0.3;0.3;0.3;10;10;10;10;10;10;10;10;10;10;10;9;9;9;9;9;9;9;9;9;9;9;9;9;6;6;7;7;7;7;7;7;7;5;6;7;8;8;8;7;6;5;4;4;4;4;4;4;;;;;;;;;;;;;;;;;;;;;;;;;100;100;100;100;100;100;100;100;100;27;14;81;29;89;25;10;100;100;16;;;;;6
23.01.2022;2;3;3;3;4;5;6;6;6;7;8;10;11;10;10;9;10;10;8;8;8;8;8;8;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.4;0.4;0.4;0.4;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.6;0.6;0.6;9;9;9;9;9;9;9;9;9;16;16;16;16;16;16;16;16;4;4;4;4;4;4;4;3;3;3;4;4;4;5;5;5;6;7;7;7;7;8;8;8;8;8;8;8;8;8;8;;;;;;;;;;;;;;;;;;;;;;0.1;;;100;91;42;100;100;91;100;100;100;100;99;89;100;100;100;100;100;100;100;100;100;100;100;100
24.01.2022;9;9;8;8;8;7;6;5;5;5;5;6;5;5;6;6;7;7;6;5;5;5;4;4;0.7;0.7;0.7;0.7;0.7;0.8;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.6;0.6;0.6;0.6;0.6;0.6;0.6;4;4;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;6;15;8;8;8;8;8;8;7;7;7;7;7;8;8;8;8;8;8;7;7;7;7;7;7;7;0.1;;;;0.1;;0.1;;;;;;0.1;;;;;;0.1;;;;;;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100
25.01.2022;4;5;6;6;4;3;3;4;4;4;4;4;6;5;5;4;4;4;4;4;3;3;3;1;0.6;0.6;0.6;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.4;0.5;0.4;0.4;0.4;0.4;0.4;0.4;0.3;0.3;0.3;0.3;0.3;15;15;15;15;15;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;7;7;7;7;7;7;8;8;8;8;8;9;9;9;9;8;8;8;7;7;7;6;5;4;0.1;;;;0.1;;;;;0.1;;0.1;0.1;0.1;;;;;;;;;;;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;10;
26.01.2022;3;4;3;2;3;4;4;5;5;7;8;10;12;13;14;15;15;15;16;16;16;16;16;15;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.4;0.4;0.4;0.5;0.6;0.7;0.8;0.9;1;1.1;1.2;1.2;1.3;1.3;1.4;14;14;13;13;13;13;13;13;13;13;13;13;3;3;4;4;4;4;5;5;5;5;5;5;4;4;4;4;4;4;4;4;4;5;6;7;8;8;9;9;8;8;8;8;8;9;9;9;;;;;;;;;;;;;;;;;;;;;0.1;;;;;6;;8;11;5;5;11;11;100;13;100;13;7;72;87;99;99;100;100;100;100;100;100
27.01.2022;13;13;13;11;8;7;7;6;5;5;5;6;7;7;6;7;4;4;2;3;2;3;3;4;1.4;1.4;1.4;1.3;1.3;1.2;1.3;1.2;1.1;1;0.9;0.9;0.9;0.8;0.8;0.7;0.7;0.6;0.6;0.6;0.6;0.5;0.5;0.5;5;5;5;5;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;5;5;5;9;10;10;10;10;9;10;10;10;9;9;10;11;11;11;11;10;8;7;7;7;7;7;7;0.1;;;;0.1;;;0.1;;;;;;;;;;;;;;;;;100;100;100;100;100;99;100;100;100;100;41;100;100;100;51;;;;;7;37;31;80;100
28.01.2022;4;4;4;5;5;5;7;7;7;7;8;9;10;12;13;12;12;10;10;12;13;13;15;13;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.6;0.6;0.6;0.7;0.8;0.9;1;1;1.1;1.2;1.2;1.3;1.4;1.5;1.6;6;12;12;12;12;12;12;12;12;12;12;11;4;4;4;4;5;5;5;5;5;5;6;6;6;6;6;6;6;7;7;7;8;9;10;10;11;11;12;12;12;11;11;10;10;11;11;11;;;;;;;;;;;;;;;;;;;;;;;;;100;93;100;100;100;100;100;100;100;100;100;100;100;100;100;100;94;25;96;26;100;92;100;100
29.01.2022;14;16;16;15;16;15;16;17;18;16;14;15;14;13;11;9;8;7;8;7;6;5;3;3;1.5;1.6;1.6;1.6;1.6;1.7;1.8;1.9;1.9;1.9;1.8;1.6;1.5;1.4;1.3;1.2;1.1;1;1;0.9;0.9;0.8;0.8;0.7;6;6;6;6;6;6;6;7;7;7;7;7;7;7;7;7;7;7;7;7;7;6;6;6;11;11;11;11;12;12;12;12;12;11;12;11;11;10;10;10;9;8;7;6;6;5;5;5;;;;;;;;;;;;0.1;;;;;;;;;;;;;39;68;23;62;100;100;80;52;6;92;75;100;56;;;10;15;16;70;16;15;16;64;59
30.01.2022;4;4;3;3;3;2;1;2;4;6;8;11;12;15;15;15;14;16;18;18;15;12;11;11;0.7;0.6;0.6;0.6;0.6;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.6;0.7;0.9;1;1.1;1.1;1.3;1.3;1.2;1.2;1.1;1.1;6;6;6;6;6;6;6;6;5;5;5;5;3;4;4;4;5;5;5;5;6;6;6;6;5;4;4;4;4;4;3;3;4;6;7;8;8;8;8;9;10;10;9;8;7;6;6;6;;;;;;;;;;;;;;;0.1;0.1;;0.1;0.1;;;;;;12;12;21;62;22;47;55;33;100;100;100;100;100;100;100;100;100;100;100;6;100;100;100;100
31.01.2022;11;12;13;14;13;13;12;12;12;12;11;10;11;11;11;12;12;11;9;10;10;10;9;9;1;1;1;1;1;0.9;0.9;0.9;0.8;0.8;0.8;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.8;0.8;0.9;0.9;0.9;0.9;6;6;6;4;5;5;4;4;4;4;5;6;5;5;4;4;4;4;4;4;4;4;4;4;6;6;5;6;5;5;5;5;6;7;7;8;9;9;9;9;9;9;8;8;8;9;8;8;;;;;;;;;;;;;;;;;0.1;;;;;;;;100;100;100;100;100;100;100;92;100;100;100;100;100;50;91;85;100;100;100;100;98;100;100;100
01.02.2022;8;9;11;12;13;12;13;13;14;14;14;14;14;11;13;12;14;11;14;13;11;10;11;10;1;1;1;1;1;1;1;1;1.1;1.1;1;1;1;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.8;0.8;0.8;0.9;5;5;5;5;5;5;6;6;7;6;6;6;5;5;6;6;6;5;5;5;6;6;6;5;8;8;9;9;10;10;11;11;12;12;12;12;12;12;12;12;12;11;11;11;11;11;11;10;;;;;;;;;;;;;;;;;0.1;;;;;;;;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100
02.02.2022;7;6;6;6;6;5;5;5;5;5;5;6;5;6;7;8;7;6;6;5;6;8;9;11;0.9;0.9;0.8;0.8;0.7;0.7;0.7;0.6;0.7;0.7;0.7;0.6;0.6;0.5;0.5;0.5;0.5;0.5;0.5;0.6;0.7;0.8;0.7;0.7;5;5;5;5;6;6;6;6;6;6;6;6;5;5;5;5;5;5;5;4;5;5;5;4;9;8;8;9;9;9;9;8;7;7;9;9;9;10;10;10;10;10;9;9;9;9;9;8;;;;;;;;;;;;;;;;;;;;;;;;;91;38;73;99;100;99;100;57;28;20;99;100;100;100;100;100;100;100;100;100;100;100;100;100
03.02.2022;8;7;7;6;6;7;8;8;9;10;12;12;14;16;17;17;18;18;18;19;20;21;14;15;0.7;0.7;0.6;0.6;0.6;0.6;0.6;0.8;0.9;0.9;0.9;0.9;1;1.2;1.3;1.5;1.6;1.7;1.8;1.9;2.1;2.2;2.2;1.9;4;4;4;4;4;4;4;4;4;5;5;5;5;5;5;5;6;6;6;6;6;7;7;7;7;7;7;7;7;7;7;7;7;8;9;10;10;11;11;11;10;10;10;10;10;11;8;5;;;;;;;;;;;;;;;;;;;;;;;1.1;1.8;100;100;90;11;16;6;;12;40;37;18;18;100;90;100;100;100;100;100;100;100;100;100;100
04.02.2022;13;9;8;10;8;9;11;13;13;14;12;11;14;15;16;16;15;14;12;11;10;9;9;9;1.7;1.5;1.3;1.2;1.2;1.1;1.1;1.2;1.2;1.2;1.2;1.2;1.2;1.3;1.3;1.3;1.2;1.2;1.2;1.1;1.1;1;0.9;0.9;7;7;7;7;7;7;7;7;7;7;7;7;7;7;6;6;6;6;6;7;7;7;7;7;4;4;5;5;4;3;4;4;4;5;5;6;7;8;7;7;7;6;5;5;4;4;4;3;0.8;0.3;;;;0.1;;;;;;;;0.1;0.1;;;;;;;;;;100;100;100;100;100;99;86;16;14;100;7;;14;54;76;26;100;100;100;6;;;6;6
05.02.2022;9;9;10;11;13;14;15;16;17;18;19;20;21;21;22;22;22;22;23;23;22;23;22;23;1;1;1;1;1.1;1.2;1.3;1.4;1.6;1.7;1.9;2.1;2.2;2.4;2.4;2.5;2.5;2.7;2.8;2.9;2.8;2.8;2.8;3;7;7;7;4;5;5;5;5;6;6;6;7;7;7;7;7;7;8;8;8;8;8;8;8;4;4;4;5;5;6;6;6;7;8;8;9;10;10;9;10;10;10;10;9;9;9;9;10;;;;;;;;;;;;;;;;;;;0.1;0.1;0.2;0.2;0.2;0.1;83;67;17;43;14;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100
